infer1,infer2,infer3,infer4,infer5,infer6,infer7,infer8,infer9,infer10,infer11,infer12,infer13,infer14,infer15,infer16,scan1,scan2,scan3,scan4,scan5,scan6,scan7,scan8,scan9,scan10,scan11,scan12,scan13,scan14,scan15,scan16,age,strategy,knowledge,precision,recall,fairness,condition,id,experiment
5,5,5,5,2,1,5,5,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21,"used the same proprtion as Alex, erring on the side of caution when both were equal",7.0,7.0,5.0,4.0,unknown,exp1_check_ext_0,1
2,2,3,3,3,2,2,1,2,1,2,4,2,2,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,29,15,3.0,3.0,1.0,1.0,unknown,exp1_check_ext_3,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,18,I based it off of how many aliens Alex scanned,6.0,7.0,7.0,7.0,unknown,exp1_check_ext_6,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,19,Seeing how many of them Alex scanned,7.0,6.0,5.0,6.0,unknown,exp1_check_ext_7,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,65,I was looking at the ratio of scanned and let visitors done previously by 1 of the staff and based on this I made an assumption whether or not it is a high risk individual or not.,6.0,5.0,5.0,6.0,unknown,exp1_check_ext_8,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18,"Alex knows all the theft rates of all planets. By following his thought process when scanning sixes of visitors from particulars planets, I guessed the proportion. If Alex scanned 6 out of 6 visitors, then it's highly possible that their planet has nearly 100% of theft rate. Consequntly: 3 scanned and 3 let pass conclude in a possible theft rate of 50% etc. I applied those numbers even when a group of 6 aliens was randomized, because I find it to be the most logical solution.",6.0,6.0,6.0,3.0,unknown,exp1_check_ext_12,1
6,5,5,5,2,1,5,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20,I relied on Alex.,7.0,7.0,7.0,6.0,unknown,exp1_check_ext_13,1
6,5,1,4,5,6,6,6,1,4,2,2,6,4,6,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,on the amount of scanned aliens ,3.0,4.0,4.0,3.0,unknown,exp1_check_ext_15,1
6,6,5,5,2,1,4,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,23,Probability based on Alex's selection,6.0,7.0,6.0,6.0,unknown,exp1_check_ext_16,1
5,5,4,4,2,1,5,5,4,5,1,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,23,I trusted Alex. He knows how to choose the proportion,6.0,4.0,4.0,6.0,unknown,exp1_check_ext_17,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,60,I trusted Alexes assessments because he is well educated in the habits of the visitors from different planets. ,6.0,6.0,5.0,5.0,unknown,exp1_check_ext_18,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21,if the guy scans half of them it means prob around half of the guests from that planet are thefts,6.0,7.0,5.0,4.0,unknown,exp1_check_ext_19,1
6,5,4,5,1,1,6,6,5,5,1,1,3,4,3,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,28,"If Alex scan more than 3, i was choosing to scan them.",5.0,5.0,6.0,2.0,unknown,exp1_check_ext_20,1
6,4,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,28,I took into account the proportions given by the images,6.0,6.0,7.0,6.0,unknown,exp1_check_ext_21,1
4,6,3,5,2,1,4,6,5,5,1,1,3,2,3,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22,"I was suggested by how many aliens Alex has checked, and his knowledge of theft rate tables to guess how many visitors has stolen the gems.",6.0,4.0,5.0,6.0,unknown,exp1_check_ext_22,1
6,6,3,5,2,1,4,6,5,5,1,5,3,4,3,3,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,30,"At first, I got confused, later. I think I followed Alex way too much. At the end I tried to think more by myself.",6.0,5.0,5.0,2.0,unknown,exp1_check_ext_23,1
3,4,2,3,1,0,3,3,2,2,1,0,2,3,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,Alex's knowledge + my own thoughts on probability.,4.0,4.0,4.0,4.0,unknown,exp1_check_ext_24,1
4,3,2,3,3,4,2,4,5,6,2,1,3,3,4,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,18,I drew conclusions from theft rates mostly,5.0,4.0,5.0,3.0,unknown,exp1_check_ext_25,1
6,6,5,5,3,2,6,6,5,5,2,1,3,4,2,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,19,I was watching what Alex was doing and I was infuened by that,6.0,6.0,6.0,6.0,unknown,exp1_check_ext_26,1
4,4,1,2,2,1,4,5,1,1,1,1,1,1,2,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,20,high tax of visitor scanned = high tax oh theft,6.0,4.0,5.0,4.0,unknown,exp1_check_ext_27,1
4,4,4,3,2,1,4,4,4,4,2,2,3,3,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,20,I based it on the number Alex was scanning,6.0,6.0,6.0,6.0,unknown,exp1_check_ext_28,1
6,6,5,5,2,4,5,6,5,4,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,31,65,5.0,5.0,4.0,5.0,unknown,exp1_check_ext_29,1
4,5,3,3,1,1,4,4,3,3,1,1,3,3,2,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,19,Just intuition,5.0,4.0,4.0,5.0,unknown,exp1_check_ext_31,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,22,I try to do what Alex might have done,5.0,6.0,6.0,4.0,unknown,exp1_check_ext_32,1
4,4,4,5,3,1,6,5,4,3,1,0,4,4,3,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24,If Alex chose to scan an higher number of aliens I supposed the thieves where somewhat less because of the randomization of the visitors,5.0,6.0,5.0,3.0,unknown,exp1_check_ext_33,1
2,4,2,4,5,3,3,5,2,3,3,4,3,3,6,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,39,Random,3.0,6.0,3.0,4.0,unknown,exp1_check_ext_34,1
5,0,1,4,4,3,0,0,1,4,4,5,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,im my opinion you nver know how many people may have stolen gems due to the randomness,3.0,4.0,3.0,5.0,unknown,exp1_check_ext_35,1
6,5,5,5,2,1,5,6,5,4,2,2,3,4,3,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,28,"analysing Alexs work, he know how often visitors from this planet steal gems so I've decided the probabylity. ",6.0,7.0,5.0,3.0,unknown,exp1_check_ext_36,1
6,6,5,5,2,1,0,6,4,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,29,"Since Alex knows the theft rate he scans according to it, meaning that statistics show a certain number out of visitors from each planet that must have tried to steal gems",6.0,6.0,4.0,5.0,unknown,exp1_check_ext_37,1
